"book_id","title","stock","order_quantity","remaining_quantity"
1,"Configurable modular throughput",100,"3","97"
2,"Persevering reciprocal knowledge user",19,"0","19"
3,"Streamlined coherent initiative",27,"5","22"
4,"Customizable 24hour product",8,"0","8"
5,"Adaptive 5thgeneration encoding",16,"8","8"
6,"Advanced encompassing implementation",2,"0","2"
7,"Open-architected exuding structure",95,"5","90"
8,"Persistent local encoding",84,"3","81"
9,"Optimized interactive challenge",70,"0","70"
10,"Ergonomic national hub",25,"1","24"
11,"Secured zero tolerance time-frame",10,"5","5"
12,"Polarized optimal array",63,"0","63"
13,"Adaptive 5thgeneration orchestration",99,"9","90"
14,"Re-engineered demand-driven parallelism",95,"0","95"
15,"User-friendly motivating strategy",58,"0","58"
16,"Vision-oriented tangible project",8,"1","7"
17,"Reduced secondary core",45,"9","36"
18,"Adaptive 4thgeneration concept",32,"14","18"
19,"Progressive asymmetric Internet solution",1,"1","0"
20,"Face-to-face systematic throughput",64,"0","64"
21,"Down-sized static interface",87,"3","84"
22,"Multi-layered optimizing migration",78,"0","78"
23,"Reverse-engineered context-sensitive hardware",70,"0","70"
24,"Ergonomic incremental hub",54,"0","54"
25,"Devolved mobile conglomeration",79,"6","73"
26,"Multi-channeled multi-tasking capability",41,"11","30"
27,"Team-oriented human-resource access",76,"0","76"
28,"Expanded analyzing portal",79,"2","77"
29,"Quality-focused multi-tasking challenge",100,"4","96"
30,"Multi-layered global open system",37,"0","37"
31,"Implemented encompassing conglomeration",44,"27","17"
32,"Synergistic dedicated concept",100,"10","90"
33,"Team-oriented empowering synergy",49,"15","34"
34,"Stand-alone multimedia throughput",43,"2","41"
35,"Grass-roots solution-oriented adapter",85,"9","76"
36,"Open-source needs-based secured line",86,"17","69"
37,"Up-sized tertiary archive",3,"0","3"
38,"Pre-emptive asynchronous leverage",72,"10","62"
39,"Optimized national process improvement",42,"0","42"
40,"Adaptive didactic interface",94,"1","93"
41,"Integrated grid-enabled superstructure",78,"0","78"
42,"Pre-emptive interactive focus group",82,"5","77"
43,"Function-based zero-defect initiative",61,"4","57"
44,"Networked systemic implementation",0,"0","0"
45,"Centralized cohesive website",59,"8","51"
46,"Distributed attitude-oriented open system",75,"3","72"
47,"Reverse-engineered directional conglomeration",90,"17","73"
48,"Multi-channeled 5thgeneration Internet solution",94,"1","93"
49,"Robust attitude-oriented attitude",15,"15","0"
50,"Face-to-face responsive secured line",63,"0","63"
51,"Visionary optimizing project",95,"3","92"
52,"Triple-buffered neutral adapter",85,"21","64"
53,"Triple-buffered multi-tasking help-desk",60,"0","60"
54,"Progressive bi-directional methodology",27,"0","27"
55,"Streamlined well-modulated migration",66,"0","66"
56,"Integrated intermediate Internet solution",67,"19","48"
57,"Team-oriented 3rdgeneration encryption",27,"3","24"
58,"Profound logistical capacity",14,"3","11"
59,"Distributed directional adapter",41,"0","41"
60,"Robust eco-centric capacity",0,"9","-9"
61,"Future-proofed upward-trending process improvement",10,"5","5"
62,"Re-contextualized real-time strategy",23,"0","23"
63,"Polarized heuristic database",56,"7","49"
64,"Polarized hybrid emulation",86,"9","77"
65,"Total explicit open architecture",7,"19","-12"
